failure_p,policy,lambda2,tau
0.0,uniform,0.0978869674096928,47.25
0.0,metropolis,0.03262898913656411,48.05
0.0,ppo,0.019862308426548174,44.9
0.1,uniform,0.011050178072915714,363.45
0.1,metropolis,0.007356680251457097,311.55
0.1,ppo,0.002490499832575521,419.15
0.2,uniform,-1.6829811750270576e-16,500.0
0.2,metropolis,-2.6610977032798293e-17,500.0
0.2,ppo,0.0002590666912356605,463.95
0.3,uniform,-2.0402344596836214e-16,500.0
0.3,metropolis,-5.880826319309065e-17,500.0
0.3,ppo,-2.8062656841826523e-18,477.8
