iter,frames,mean_reward,loss_total,loss_policy,loss_value
1,4096,0.12554208934307098,-0.0787588331848383,-0.10624047310557216,0.16318048193352297
2,8192,0.12641048431396484,-0.18451528502628206,-0.10052767714078073,0.05148936925688759
3,12288,0.12980878353118896,-0.19615449905395507,-0.1033355947729433,0.04241530664730817
4,16384,0.13521559536457062,-0.2002072934061289,-0.10503524831146933,0.03983598726335913
5,20480,0.13337020576000214,-0.19476046622730792,-0.10075273248367012,0.040688841266091916
6,24576,0.14101077616214752,-0.19798518805764614,-0.0997698544000741,0.03622172992909327
7,28672,0.1416620910167694,-0.19871446974575518,-0.10227618733770213,0.03781383604509756
8,32768,0.14242658019065857,-0.1968372968956828,-0.10116410506889224,0.03822994170477614
9,36864,0.14765185117721558,-0.1998039552476257,-0.10269382136466447,0.036702917562797664
10,40960,0.1489335298538208,-0.1987261958885938,-0.10428820194792934,0.03881452241912484
11,45056,0.15163888037204742,-0.19265276212245225,-0.10103481972473674,0.041627724072895944
12,49152,0.1535186916589737,-0.19603459611535073,-0.10323079264489934,0.03997190153459087
13,53248,0.16000783443450928,-0.19284288622438908,-0.10263526941998861,0.04212954193353653
14,57344,0.15962445735931396,-0.19459208315238358,-0.09947823194088415,0.037092977052088826
15,61440,0.16597110033035278,-0.19500478776171803,-0.10000029294751585,0.036834471102338284
16,65536,0.1661965548992157,-0.19077200698666275,-0.1012526011953014,0.041766477306373416
17,69632,0.17074167728424072,-0.1988898587413132,-0.10462793963233707,0.03654461834812537
18,73728,0.1713847815990448,-0.18912166743539274,-0.10021976610296406,0.04124827263876796
19,77824,0.17357206344604492,-0.19054698557592928,-0.1022038789204089,0.04153801400680095
20,81920,0.1752357929944992,-0.18885278459638358,-0.10092073194682598,0.04150698680896312
21,86016,0.17667457461357117,-0.18444515503942965,-0.10110493762767873,0.0460127743659541
22,90112,0.1748269647359848,-0.18181707956828178,-0.09791272092843428,0.04510430188383907
23,94208,0.17851212620735168,-0.18867889144457878,-0.1013562416570494,0.041273734788410364
24,98304,0.1812446266412735,-0.18364876750856637,-0.10174674252339173,0.0460090902633965
25,102400,0.1823459416627884,-0.18247227459214627,-0.0989251472579781,0.044003347866237164
26,106496,0.1846829354763031,-0.17991525386460125,-0.1007759698695736,0.04818208054639399
27,110592,0.18502354621887207,-0.178188696783036,-0.0987548138044076,0.047625333955511454
28,114688,0.1878863424062729,-0.18220022143796086,-0.09969772609183565,0.044324937555938956
29,118784,0.18662814795970917,-0.17546585546806454,-0.09887353606463875,0.049624062655493614
30,122880,0.1901932656764984,-0.17835105615667998,-0.09981555812410078,0.04699288094416261
31,126976,0.19074343144893646,-0.1724443013779819,-0.09897775704157538,0.05158375792670995
32,131072,0.19626344740390778,-0.1720928803551942,-0.10034808003983926,0.05288555547595024
33,135168,0.1949518471956253,-0.17364419349469246,-0.09954797532991506,0.05011623117607087
34,139264,0.19661477208137512,-0.17312354184687137,-0.10013479070621542,0.05071179021615535
35,143360,0.19787850975990295,-0.16990437489002944,-0.09800687355163973,0.051381045999005434
36,147456,0.19944848120212555,-0.16761492937803268,-0.09815469911845867,0.05317340611945838
37,151552,0.20282340049743652,-0.17023797747679054,-0.10067792468471452,0.05279838962014764
38,155648,0.20561671257019043,-0.15766831752844154,-0.09485982609330676,0.05890517379157245
39,159744,0.20555788278579712,-0.17225902653299272,-0.09977910471789073,0.048579921131022274
40,163840,0.20605698227882385,-0.157601125119254,-0.09693317920900882,0.059764996892772614
41,167936,0.20580030977725983,-0.16122130157891662,-0.09538021753687645,0.05429108117241412
42,172032,0.20879009366035461,-0.1594744731206447,-0.09301302997337188,0.053081735991872846
43,176128,0.2107161432504654,-0.15846256930381059,-0.10012714807817247,0.0607193146366626
44,180224,0.21160206198692322,-0.16105506545864046,-0.09738576678209938,0.05434566722251475
45,184320,0.21436342597007751,-0.16056590168736876,-0.09573548088083043,0.05273750862106681
46,188416,0.2179490178823471,-0.16263223066926003,-0.09810761014814488,0.05227188307326287
47,192512,0.21513566374778748,-0.15541529909241944,-0.095457907859236,0.05656183650717139
48,196608,0.22158105671405792,-0.1562484686728567,-0.09817652152123628,0.05734861043747515
49,200704,0.21921704709529877,-0.15511133691761642,-0.09497687974362634,0.054567059082910416
50,204800,0.2197330892086029,-0.1548122659092769,-0.09669750056782504,0.05638744388706982
51,208896,0.22205018997192383,-0.15041522139217706,-0.09556771645147819,0.059353560931049286
52,212992,0.22617168724536896,-0.1500704568810761,-0.09708737097098492,0.06057161940261722
53,217088,0.2269255667924881,-0.14127716983202845,-0.09285418190993369,0.06434295615181326
54,221184,0.2273331582546234,-0.15145115016493946,-0.0965620822738856,0.05762274162843824
55,225280,0.22617380321025848,-0.1461800676304847,-0.09545534958597272,0.061716696014627814
56,229376,0.23168697953224182,-0.15178689954336733,-0.09758445943589322,0.0579879394499585
57,233472,0.22937653958797455,-0.14836113001219928,-0.0957123961765319,0.05909767490811646
58,237568,0.2287621796131134,-0.14123961739242077,-0.09531110516400076,0.06513026282191277
59,241664,0.22984880208969116,-0.14111169867683201,-0.0925678669998888,0.061804196471348403
60,245760,0.23101267218589783,-0.1533345741452649,-0.09652725185733288,0.05323135994840413
61,249856,0.23400890827178955,-0.15193878896534443,-0.095773218217073,0.05332728081848472
62,253952,0.23590432107448578,-0.13845960362814366,-0.09391430508403573,0.06458167990203947
63,258048,0.23455001413822174,-0.13679112058598547,-0.09616439932142384,0.06870672302320599
64,262144,0.23409126698970795,-0.14070033542811872,-0.0951825421419926,0.06325208880007267
65,266240,0.2344103902578354,-0.1425088519230485,-0.09798911068355665,0.06363946583587676
66,270336,0.239480659365654,-0.1403635006165132,-0.09305395938572474,0.060387224145233634
67,274432,0.23775270581245422,-0.14106148588471115,-0.09552466680761426,0.06215767371468246
68,278528,0.2366417646408081,-0.1297009697649628,-0.09265828148345463,0.06989463660866022
69,282624,0.24025952816009521,-0.13354182271286846,-0.09340686602517963,0.06641653187107295
70,286720,0.24129356443881989,-0.13094791457988322,-0.09248036784119903,0.06738529747817665
71,290816,0.24325895309448242,-0.1298560095950961,-0.09283658866334007,0.06793934158049524
72,294912,0.24727822840213776,-0.12787928835023193,-0.09142508944496512,0.06836334241088479
73,299008,0.24110889434814453,-0.12553740977309644,-0.09137415510194842,0.06926099504344166
74,303104,0.24638386070728302,-0.12946162414737045,-0.09402090776420664,0.06781576762441546
